Jining,Jining,35.4,116.5667,China,CN,CHN,Shandong,58,8357897,1156504601
Hanoi,Hanoi,21.0283,105.8542,Vietnam,VN,VNM,H�� N,59,8246600,1704413791
Pune,Pune,18.5203,73.8567,India,IN,IND,Mah��r�,60,8231000,1356081074
Fuyang,Fuyang,32.8986,115.8045,China,CN,CHN,Anhui,61,8200264,1156248008
Ahmedabad,Ahmedabad,23.03,72.58,India,IN,IND,Gujar�,62,8009000,1356304381
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa,ZA,ZAF,Gauteng,63,8000000,1710550792
Bogot�,Bogota,4.7111,-74.0722,Colombia,CO,COL,Bogot�,64,7968095,1170483426
Dar es Salaam,Dar es Salaam,-6.8161,39.2803,Tanzania,TZ,TZA,Dar es Salaam,65,7962000,1834843853
Shenyang,Shenyang,41.8025,123.4281,China,CN,CHN,Liaoning,66,7964000,1156309382
Khartoum,Khartoum,15.5006,32.56,Sudan,SD,SDN,Khartoum,67,7869000,1729268475
Shangqiu,Shangqiu,34.4259,115.6467,China,CN,CHN,Henan,68,7816831,1156805441
Cangzhou,Cangzhou,38.3037,116.8452,China,CN,CHN,Hebei,69,7544300,1156698069
Hong Kong,Hong Kong,22.3,114.2,Hong Kong,HK,HKG,,70,7450000,1344982653
Shaoyang,Shaoyang,27.2418,111.4725,China,CN,CHN,Hunan,71,7370500,1156310366
Zhanjiang,Zhanjiang,21.1967,110.4031,China,CN,CHN,Guangdong,72,7332000,1156502170
Yancheng,Yancheng,33.3936,120.1339,China,CN,CHN,Jiangsu,73,7260240,1156995410
Hengyang,Hengyang,26.8968,112.5857,China,CN,CHN,Hunan,74,7243400,1156696884
Riyadh,Riyadh,24.6333,46.7167,Saudi Arabia,SA,SAU,Ar Riy��,75,7237000,1682999334
Zhumadian,Zhumadian,32.9773,114.0253,China,CN,CHN,Henan,76,7231234,1156184822
Santiago,Santiago,-33.4372,-70.6506,Chile,CL,CHL,Regi��n Metropoli,77,7171000,1152554349
Xingtai,Xingtai,37.0659,114.4753,China,CN,CHN,Hebei,78,7111106,1156294952
Chattogram,Chattogram,22.335,91.8325,Bangladesh,BD,BGD,Chattogram,79,7000000,1050830722
Bijie,Bijie,27.3019,105.2863,China,CN,CHN,Guizhou,80,6899636,1156018927
Shangrao,Shangrao,28.4419,117.9633,China,CN,CHN,Jiangxi,81,6810700,1156405492
Zunyi,Zunyi,27.705,106.9336,China,CN,CHN,Guizhou,82,6606675,1156539782
S��,Surat,21.1702,72.8311,India,IN,IND,Gujar�,83,6538000,1356758738
Surabaya,Surabaya,-7.2458,112.7378,Indonesia,ID,IDN,Jawa Timur,84,6499000,1360484663
Huanggang,Huanggang,30.45,114.875,China,CN,CHN,Hubei,85,6333000,1156200037
Maoming,Maoming,21.6618,110.9178,China,CN,CHN,Guangdong,86,6313200,1156568722
Nanchong,Nanchong,30.7991,106.0784,China,CN,CHN,Sichuan,87,6278614,1156762337
Xinyang,Xinyang,32.1264,114.0672,China,CN,CHN,Henan,88,6234401,1156273453
Madrid,Madrid,40.4169,-3.7033,Spain,ES,ESP,Madrid,89,6211000,1724616994
Baghdad,Baghdad,33.3153,44.3661,Iraq,IQ,IRQ,Baghd�,90,6183000,1368596238
Qujing,Qujing,25.5102,103.8029,China,CN,CHN,Yunnan,91,6155400,1156747998
Jieyang,Jieyang,23.5533,116.3649,China,CN,CHN,Guangdong,92,6089400,1156260378
Singapore,Singapore,1.3,103.8,Singapore,SG,SGP,,93,5983000,1702341327
Prayagraj,Prayagraj,25.4358,81.8464,India,IN,IND,Uttar Pradesh,94,5954391,1356718332
Liaocheng,Liaocheng,36.45,115.9833,China,CN,CHN,Shandong,95,5952128,1156006600
Dalian,Dalian,38.9,121.6,China,CN,CHN,Liaoning,96,5871474,1156175472
Yulin,Yulin,22.6293,110.1507,China,CN,CHN,Guangxi,97,5849700,1156901312
Changde,Changde,29.0397,111.6839,China,CN,CHN,Hunan,98,5827200,1156449091
Qingdao,Qingdao,36.1167,120.4,China,CN,CHN,Shandong,99,5818255,1156112588
Douala,Douala,4.05,9.7,Cameroon,CM,CMR,Littoral,100,5768400,1120494607
